Draft Position,Value (0-100)
1,100.0
2,35.9291
3,64.4138
4,64.8794
5,42.5412
6,40.2262
7,44.8634
8,24.4844
9,52.6295
10,35.3481
11,18.6118
12,18.8652
13,15.1910
14,16.7994
15,33.1289
16,4.59039
17,27.8958
18,17.6372
19,10.9042
20,15.2266
21,33.9099
22,17.4526
23,22.1151
24,27.4498
25,14.1367
26,26.6945
27,24.8066
28,6.76410
29,12.9015
30,16.9523
31,3.67986
32,8.31615
33,4.01669
34,14.8379
35,20.5995
36,5.21624
37,8.87108
38,18.1540
39,12.8835
40,12.6642
41,2.51392
42,5.44179
43,9.32673
44,2.61470
45,8.60420
46,9.45258
47,11.6969
48,6.35910
49,5.36160
50,3.85152
51,4.41609
52,0.37941
53,1.34161
54,0.11625
55,3.91279
56,5.00063
57,1.14039
58,0.00078
59,0.38303
60,7.62847