Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,NOH,Anthony Davis,Kentucky,9,551,18994,13195,5676,1252,.516,.317,.799,34.5,23.9,10.3,2.3,86.2,.218,6.3,39.7
2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
3,WAS,Bradley Beal,Florida,9,588,20347,12755,2379,2378,.455,.377,.819,34.6,21.7,4.0,4.0,45.7,.108,1.8,19.2
4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
6,POR,Damian Lillard,Weber State,9,664,24140,16312,2782,4384,.438,.373,.893,36.4,24.6,4.2,6.6,89.2,.177,4.8,41.2
7,GSW,Harrison Barnes,UNC,9,661,20839,9134,3327,1165,.451,.374,.799,31.5,13.8,5.0,1.8,38.0,.087,-1.0,5.3
8,TOR,Terrence Ross,Washington,9,603,15071,6867,1735,715,.419,.368,.837,25.0,11.4,2.9,1.2,23.4,.074,-0.6,5.3
9,DET,Andre Drummond,UConn,9,626,19353,9127,8638,847,.538,.135,.467,30.9,14.6,13.8,1.4,61.4,.152,1.4,16.6
10,NOH,Austin Rivers,Duke,9,573,13959,5207,1210,1309,.418,.349,.645,24.4,9.1,2.1,2.3,12.0,.041,-3.1,-3.7
11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,.482,.390,.809,16.0,5.6,3.9,0.9,15.5,.104,-1.4,1.0
12,HOU,Jeremy Lamb,UConn,9,512,10860,5352,1898,817,.444,.344,.859,21.2,10.5,3.7,1.6,25.4,.112,0.8,7.6
13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1
14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.4,3.4
15,PHI,Maurice Harkless,St. John's,9,555,12623,3890,2020,518,.477,.325,.613,22.7,7.0,3.6,0.9,22.0,.084,-0.6,4.5
16,HOU,Royce White,Iowa State,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0
17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6
20,DEN,Evan Fournier,,9,553,15760,7935,1515,1462,.450,.377,.806,28.5,14.3,2.7,2.6,26.1,.079,-1.0,3.9
21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7
22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1
23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1
24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6
25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1
26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2
27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1
28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6
29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0
30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0
31,CHA,Jeff Taylor,Vanderbilt,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5
32,WAS,Tomáš Satoranský,,5,315,7357,2352,954,1336,.475,.374,.829,23.4,7.5,3.0,4.2,16.2,.106,-0.5,2.8
33,CLE,Bernard James,Florida State,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0
34,CLE,Jae Crowder,Marquette,9,656,16373,6299,2745,1034,.419,.344,.778,25.0,9.6,4.2,1.6,35.3,.104,0.2,9.0
35,GSW,Draymond Green,Michigan State,9,620,17537,5452,4249,3227,.434,.316,.712,28.3,8.8,6.9,5.2,46.7,.128,2.6,20.3
36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-2.4,-0.1
37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1
38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-3.9,-0.5
39,DET,Khris Middleton,Texas A&M,9,567,17962,9439,2702,2005,.460,.396,.878,31.7,16.6,4.8,3.5,43.4,.116,0.6,11.8
40,POR,Will Barton,Memphis,9,545,13645,6121,2294,1407,.434,.351,.785,25.0,11.2,4.2,2.6,22.7,.080,-0.2,6.2
41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.1,-0.8
42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2
43,ATL,Mike Scott,Virginia,9,537,8908,3656,1697,480,.455,.363,.756,16.6,6.8,3.2,0.9,16.4,.088,-1.7,0.6
44,DET,Kim English,Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2
45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.9,0.5
46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,.419,.383,.840,19.8,5.9,1.6,1.4,6.6,.059,-2.3,-0.4
47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-.272,-16.8,-0.2
48,NYK,Kostas Papanikolaou,,2,69,1089,249,158,101,.354,.297,.688,15.8,3.6,2.3,1.5,0.3,.015,-2.7,-0.2
49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,.517,.218,.740,14.2,5.4,4.6,1.4,17.8,.128,0.9,5.0
50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,,,,,,,
51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-9.9,-0.1
52,GSW,Ognjen Kuzmić,,2,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-5.6,-0.2
53,LAC,Furkan Aldemir,,1,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-3.6,-0.2
54,PHI,Tornike Shengelia,,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-.032,-7.0,-0.3
55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-25.5,-0.1
56,TOR,Tomislav Zubčić,,,,,,,,,,,,,,,,,,
57,NJN,İlkan Karaman,,,,,,,,,,,,,,,,,,
58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-3.1,-0.4
59,SAS,Marcus Denmon,Missouri,,,,,,,,,,,,,,,,,
60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-4.0,-1.4